"동별(1)"	동별(2)	동별(3)	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4
"동별(1)"	동별(2)	동별(3)	세대 (세대)	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
"동별(1)"	동별(2)	동별(3)	소계	남자	여자	소계	남자	여자	소계	남자	여자	소계	소계
"합계"	강서구	방화1동	17466	21884	23004	44629	21781	22848	259	103	156	2.56	6414
"합계"	강서구	방화2동	11613	11656	11863	23181	11456	11725	338	200	138	2.00	4688
"합계"	강서구	방화3동	11331	11537	12274	23665	11492	12173	146	45	101	2.09	4929
"합계"	강서구	우장산동	16197	21162	23011	43966	21061	22905	207	101	106	2.71	5569
"합계"	구로구	소계	179792	217380	218371	405579	200268	205311	30172	17112	13060	2.26	69312
"합계"	구로구	신도림동	13504	17969	18716	36355	17771	18584	330	198	132	2.69	4541
"합계"	구로구	구로1동	8377	10737	11120	21419	10511	10908	438	226	212	2.56	2433
"합계"	구로구	구로2동	12741	17598	16134	24669	12419	12250	9063	5179	3884	1.94	5807
"합계"	구로구	구로3동	13176	13212	12601	23914	12185	11729	1899	1027	872	1.81	3435
"합계"	구로구	구로4동	10687	12884	12627	20531	9989	10542	4980	2895	2085	1.92	4489
"합계"	구로구	구로5동	14697	16102	16657	29528	14328	15200	3231	1774	1457	2.01	4633
"합계"	구로구	고척1동	9582	11822	11860	23261	11608	11653	421	214	207	2.43	4202
"합계"	구로구	고척2동	11586	13919	14186	27534	13624	13910	571	295	276	2.38	4967
"합계"	구로구	개봉1동	14734	17520	17465	33990	17014	16976	995	506	489	2.31	6142
"합계"	구로구	개봉2동	12639	15818	16595	31926	15597	16329	487	221	266	2.53	6129
"합계"	구로구	개봉3동	8824	10486	10981	21007	10264	10743	460	222	238	2.38	4110
"합계"	구로구	오류1동	11634	11423	11927	22637	11077	11560	713	346	367	1.95	3894
"합계"	구로구	오류2동	15557	19342	20666	39239	18944	20295	769	398	371	2.52	6726
"합계"	구로구	수궁동	9936	12052	12305	24020	11878	12142	337	174	163	2.42	4194
"합계"	구로구	가리봉동	6014	8481	6269	9316	5062	4254	5434	3419	2015	1.55	2159
"합계"	구로구	항동	6104	8015	8262	16233	7997	8236	44	18	26	2.66	1451
"합계"	금천구	소계	113887	127292	122349	232157	117489	114668	17484	9803	7681	2.04	39361
"합계"	금천구	가산동	15497	14248	11514	22618	12356	10262	3144	1892	1252	1.46	2555
"합계"	금천구	독산1동	21024	23082	21452	42303	21797	20506	2231	1285	946	2.01	5570
"합계"	금천구	독산2동	9389	10644	10225	19101	9681	9420	1768	963	805	2.03	3347
"합계"	금천구	독산3동	12489	14884	14067	24602	12388	12214	4349	2496	1853	1.97	4466
"합계"	금천구	독산4동	7680	9021	8718	15671	7895	7776	2068	1126	942	2.04	2877
"합계"	금천구	시흥1동	16068	18116	17949	33893	16927	16966	2172	1189	983	2.11	6041
"합계"	금천구	시흥2동	8443	10725	11466	22065	10668	11397	126	57	69	2.61	3972
"합계"	금천구	시흥3동	4775	5667	5708	11210	5588	5622	165	79	86	2.35	2277
"합계"	금천구	시흥4동	9143	10768	10948	20936	10376	10560	780	392	388	2.29	3982
"합계"	금천구	시흥5동	9379	10137	10302	19758	9813	9945	681	324	357	2.11	4274
"합계"	영등포구	소계	182087	202624	203358	375630	185800	189830	30352	16824	13528	2.06	60826
"합계"	영등포구	여의동	13800	16291	18347	34307	16105	18202	331	186	145	2.49	6134
"합계"	영등포구	당산1동	10827	10494	10893	20911	10263	10648	476	231	245	1.93	3335
"합계"	영등포구	당산2동	18425	17819	20182	37564	17618	19946	437	201	236	2.04	4621
